公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
002289,宇顺电子,深圳市宇顺电子股份有限公司,SUCCESS ELECTRONICS LTD,广东省深圳市南山区高新区中区麻雀岭工业区M-6栋三层二区,2289,宇顺电子,9/3/2009,"73,500,000","18,500,000",华南,广东,深圳市,C5 电子,www.szsuccess.com.cn
002290,禾盛新材,苏州禾盛新型材料股份有限公司,"SUZHOU HESHENG SPECIAL MATERIAL CO.,LTD",江苏省苏州工业园区后戴街108号,2290,禾盛新材,9/3/2009,"150,480,000","37,800,000",华东,江苏,苏州市,C9 其他制造业,www.szhssm.com.cn
002291,星期六,佛山星期六鞋业股份有限公司,"FOSHAN SATURDAY SHOES CO.,LTD",广东省佛山市南海区桂城科技园(简平路)B-3号,2291,星期六,9/3/2009,"279,500,000","71,500,000",华南,广东,佛山市,C1 纺织服装,www.st-sat.com
002292,奥飞动漫,广东奥飞动漫文化股份有限公司,"Guangdong Alpha Animation and Culture Co.,Ltd.",广东省汕头市澄海区文冠路中段奥迪工业园,2292,奥飞动漫,9/10/2009,"160,000,000","40,000,000",华南,广东,汕头市,C3 造纸印刷,www.gdalpha.com
002293,罗莱家纺,罗莱家纺股份有限公司,"LUOLAI HOME TEXTILE CO.,LTD",江苏省南通经济技术开发区星湖大道1699号,2293,罗莱家纺,9/10/2009,"140,363,100","35,100,000",华东,江苏,南通市,C1 纺织服装,www.luolai.com.cn
002294,信立泰,深圳信立泰药业股份有限公司,"Shenzhen Salubris Pharmaceuticals Co.,Ltd",广东省深圳市福田区深南大道6007号创展中心1901、1902、1903、1923室,2294,信立泰,9/10/2009,"227,000,000","56,998,000",华南,广东,深圳市,C8 医药生物,www.salubris.cn
002295,精艺股份,广东精艺金属股份有限公司,"Guangdong Jingyi Metal Co.,Ltd.",广东省佛山市顺德区北滘镇西海工业区,2295,精艺股份,9/29/2009,"141,200,000","36,000,000",华南,广东,佛山市,C6 金属非金属,www.jingyimetal.com
002296,辉煌科技,河南辉煌科技股份有限公司,"HeNan Splendor Science&Technology Co.,Ltd.",河南省郑州市高新技术产业开发区重阳街74号,2296,辉煌科技,9/29/2009,"104,550,000","26,350,000",华中,河南,郑州市,G 信息技术,www.hhkj.cn
002297,博云新材,湖南博云新材料股份有限公司,"HUNAN BOYUN NEW MATERIALS Co.,Ltd.",湖南省长沙市岳麓区高新技术产业开发区麓松路500号,2297,博云新材,9/29/2009,"107,000,000","27,000,000",华中,湖南,长沙市,C7 机械设备,www.hnboyun.com.cn
002298,鑫龙电器,安徽鑫龙电器股份有限公司,"ANHUI XINLONG ELECTRICAL CO.,LTD.",安徽省芜湖市经济技术开发区电器部件园(九华北路118号),2298,鑫龙电器,9/29/2009,"110,000,000","28,000,000",华东,安徽,芜湖市,C7 机械设备,www.ah-xinlong.com
002299,圣农发展,福建圣农发展股份有限公司,"Fujian Sunner Development Co., Ltd.",福建省光泽县十里铺圣农总部办公大楼,2299,圣农发展,10/21/2009,"410,000,000","41,000,000",华东,福建,南平市,A 农林牧渔,www.sunnercn.com
002300,太阳电缆,福建南平太阳电缆股份有限公司,"Fujian Nanping Sun Cable CO.,LTD.",福建省南平市工业路102号,2300,太阳电缆,10/21/2009,"201,000,000","51,000,001",华东,福建,南平市,C7 机械设备,www.npcable.com
002301,齐心文具,深圳市齐心文具股份有限公司,"SHENZHEN COMIX STATIONERY CO.,LTD.",广东省深圳市福田区福虹路世贸广场A幢17楼05-06号,2301,齐心文具,10/21/2009,"124,533,333","31,200,000",华南,广东,深圳市,C3 造纸印刷,www.comix.com.cn
002302,西部建设,新疆西部建设股份有限公司,"XINJIANG WEST-CONSTRUCTION CO.,LTD",新疆维吾尔自治区乌鲁木齐市经济技术开发区泰山路268号,2302,西部建设,11/3/2009,"140,000,000","35,000,000",西北,新疆,乌鲁木齐市,C6 金属非金属,www.west-construction.com
002303,美盈森,深圳市美盈森环保科技股份有限公司,Shenzhen MYS Environmental Protection & Technology Company Ltd.,深圳市宝安区光明新陂头村美盈森厂区A 栋,2303,美盈森,11/3/2009,"178,800,000","45,000,000",华南,广东,深圳市,C3 造纸印刷,www.szmys.com
002304,洋河股份,江苏洋河酒厂股份有限公司,"Jiangsu Yanghe Brewery Joint-Stock Co.,Ltd.",江苏省宿迁市洋河中大街118号,2304,洋河股份,11/6/2009,"450,000,000","44,999,300",华东,江苏,宿迁市,C0 食品饮料,www.chinayanghe.com
002305,南国置业,武汉南国置业股份有限公司,"WUHAN LANGOLD REAL ESTATE CO.,LTD.",湖北省武汉市武昌区南湖中央花园会所,2305,南国置业,11/6/2009,"480,000,000","48,000,000",华中,湖北,武汉市,J 房地产业,www.langold.com.cn
002306,湘鄂情,北京湘鄂情股份有限公司,"Beijing Xiangeqing Co.,ltd.",北京市海淀区定慧寺甲2号一层、二层,2306,湘鄂情,11/11/2009,"200,000,000","50,000,000",华北,北京,北京市,K 社会服务,www.xeq.com.cn
002307,北新路桥,新疆北新路桥建设股份有限公司,"XINJIANG BEIXIN ROAD&BRIDGE CONSTRUCTION CO.,LTD",新疆维吾尔自治区乌鲁木齐市河滩北路822号,2307,北新路桥,11/11/2009,"189,450,000","47,500,000",西北,新疆,乌鲁木齐市,E 建筑业,www.xjbxlq.com
002308,威创股份,广东威创视讯科技股份有限公司,VTRON TECHNOLOGIES LTD.,广州高新技术产业开发区彩频路6号,2308,威创股份,11/27/2009,"213,800,000","53,450,000",华南,广东,广州市,G 信息技术,www.vtron.com
002309,中利科技,中利科技集团股份有限公司,"Zhongli Science And Technology Group Co.,Ltd",江苏省常熟东南经济开发区,2309,中利科技,11/27/2009,"240,300,000","60,300,000",华东,江苏,苏州市,C7 机械设备,www.zhongli.com
002310,东方园林,北京东方园林股份有限公司,"Beijing Orient Landscape Co.,Ltd.",北京市朝阳区酒仙桥甲12号电子城科技大厦313室,2310,东方园林,11/27/2009,"75,121,950","21,750,000",华北,北京,北京市,E 建筑业,www.orientscape.com
002311,海大集团,广东海大集团股份有限公司,"Guangdong Haid Group Co.,Limited",广州市天河区天河北路890号国际科贸大厦1011房,2311,海大集团,11/27/2009,"224,000,000","56,000,000",华南,广东,广州市,C0 食品饮料,www.haid.com.cn
002312,三泰电子,成都三泰电子实业股份有限公司,"Chengdu Santai Electronics Industry Co.,Ltd.",成都市金牛区高新科技产业园区蜀西路42号,2312,三泰电子,12/3/2009,"59,150,000","15,000,000",西南,四川,成都市,C7 机械设备,www.isantai.com
002313,日海通讯,深圳日海通讯技术股份有限公司,"Sunsea Telecommunications Co.,Ltd.",深圳市南山区科苑路清华信息港综合楼一层107号,2313,日海通讯,12/3/2009,"100,000,000","25,000,000",华南,广东,深圳市,G 信息技术,www.sunseagroup.com
002314,雅致股份,雅致集成房屋股份有限公司,"Yahgee Modular House Co.,Ltd.",深圳市南山区高新技术产业园区高新南十二路九洲电器大厦五楼A区,2314,雅致股份,12/3/2009,"290,000,000","73,641,000",华南,广东,深圳市,C6 金属非金属,www.szyazhi.com
002315,焦点科技,焦点科技股份有限公司,"Focus Technology Co.,Ltd.",南京高新开发区星火路软件大厦A座12F,2315,焦点科技,12/9/2009,"117,500,000","29,380,000",华东,江苏,南京市,G 信息技术,www.focuschina.com
002316,键桥通讯,深圳键桥通讯技术股份有限公司,"SHENZHEN KEYBRIDGE COMMUNICATIONS CO.,LTD.",深圳市南山区深南路高新技术工业村R3A-6层,2316,键桥通讯,12/9/2009,"120,000,000","30,000,000",华南,广东,深圳市,G 信息技术,www.keybridge.com.cn
002317,众生药业,广东众生药业股份有限公司,"Guangdong Zhongsheng Pharmaceutical Co.,Ltd.",广东省东莞市石龙镇西湖工业区信息产业园,2317,众生药业,12/11/2009,"80,000,000","20,000,000",华南,广东,东莞市,C8 医药生物,www. zspcl.com
002318,久立特材,浙江久立特材科技股份有限公司,"Zhejiang JIULI Hi-tech Metals Co.,Ltd.",浙江省湖州市双林镇镇西,2318,久立特材,12/11/2009,"160,000,000","40,000,000",华东,浙江,湖州市,C6 金属非金属,www.jiuli.com
002319,乐通股份,珠海市乐通化工股份有限公司,"LETONG CHEMICAL CO.,LTD.",珠海市金鼎官塘乐通工业园,2319,乐通股份,12/11/2009,"100,000,000","25,000,000",华南,广东,珠海市,C4 石化塑胶,www.letongink.com
002320,海峡股份,海南海峡航运股份有限公司,"HAINAN STRAIT SHIPPING CO.,LTD.",海口市滨海大道东方洋大厦七楼,2320,海峡股份,12/16/2009,"157,500,000","39,500,000",华南,海南,海口市,F 运输仓储,www.hnss.net.cn
002321,华英农业,河南华英农业发展股份有限公司,"Henan Huaying Agricultural Development Co., Ltd.",潢川县跃进东路308号,2321,华英农业,12/16/2009,"147,000,000","37,000,000",华中,河南,信阳市,A 农林牧渔,www.hua-ying.com
002322,理工监测,宁波理工监测科技股份有限公司,"Ningbo Ligong Online Monitoring Technology Co.,Ltd",浙江宁波保税区留学人员创业园4号楼2楼,2322,理工监测,12/18/2009,"66,700,000","16,700,000",华东,浙江,宁波市,C7 机械设备,www.lgom.com.cn
002323,中联电气,江苏中联电气股份有限公司,"JiangSu ZhongLian Electric Co.,Ltd",江苏省盐城市盐都区潘黄镇宝才工业园区内,2323,中联电气,12/18/2009,"82,760,000","21,000,000",华东,江苏,盐城市,C7 机械设备,www.zl-electronic.com
002324,普利特,上海普利特复合材料股份有限公司,"SHANGHAI PRET COMPOSITES CO.,LTD.",上海市四平路421弄20号2楼,2324,普利特,12/18/2009,"135,000,000","35,000,000",华东,上海,上海市,C4 石化塑胶,www.pret.com.cn
002325,洪涛股份,深圳市洪涛装饰股份有限公司,"SHENZHEN HONGTAO DECORATION CO.,LTD.",深圳市罗湖区泥岗西洪涛路17号,2325,洪涛股份,12/22/2009,"120,000,000","30,000,000",华南,广东,深圳市,E 建筑业,www.szhongtao.cn
002326,永太科技,浙江永太科技股份有限公司,"Zhejiang Yongtai Technology Co.,Ltd.",浙江省化学原料药基地临海园区,2326,永太科技,12/22/2009,"133,500,000","33,500,000",华东,浙江,台州市,C4 石化塑胶,www.yongtaitech.com
