代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
000907	中证700	-1.20	3858.09	-46.67	--- 	--- 	64017993	--- 	          0.16	--- 	3903.32	3904.76	3940.01	3771.37	--- 	80661512192	
000908	300能源	1.73	3162.21	53.65	--- 	--- 	2746882	--- 	          0.15	--- 	3123.04	3108.56	3171.31	3095.80	--- 	5151984640	
000909	300材料	0.50	2628.63	13.13	--- 	--- 	8604697	--- 	          0.11	--- 	2621.48	2615.50	2645.82	2576.58	--- 	11616666624	
000910	300工业	-0.45	2445.01	-10.96	--- 	--- 	11119327	--- 	          0.11	--- 	2455.11	2455.97	2477.44	2392.82	--- 	13351418880	
000911	300可选	0.12	3323.41	4.09	--- 	--- 	5078655	--- 	          0.14	--- 	3322.51	3319.32	3358.92	3238.52	--- 	5989033984	
000912	300消费	-0.12	5166.46	-6.31	--- 	--- 	2468086	--- 	          0.07	--- 	5182.60	5172.77	5277.01	5120.79	--- 	4226524160	
000913	300医药	-2.22	5479.46	-124.29	--- 	--- 	1178767	--- 	          0.09	--- 	5588.14	5603.75	5648.46	5360.76	--- 	2835062528	
000914	300金融	1.95	3982.02	76.34	--- 	--- 	14443351	--- 	          0.13	--- 	3919.83	3905.68	3999.45	3888.17	--- 	17007895552	
000915	300信息	-4.31	1679.55	-75.63	--- 	--- 	1385057	--- 	          0.26	--- 	1745.79	1755.18	1762.35	1641.25	--- 	2295204352	
000916	300电信	1.54	2448.40	37.24	--- 	--- 	950079	--- 	          0.03	--- 	2410.19	2411.16	2453.92	2398.03	--- 	847119040	
000917	300公用	0.65	1851.87	12.04	--- 	--- 	2234271	--- 	          0.15	--- 	1840.90	1839.83	1863.76	1817.03	--- 	1588278656	
000918	300成长	1.08	2939.03	31.35	--- 	--- 	16563347	--- 	          0.11	--- 	2916.27	2907.68	2956.50	2879.01	--- 	27393781760	
000919	300价值	1.56	2909.13	44.56	--- 	--- 	17921652	--- 	          0.15	--- 	2871.30	2864.57	2919.19	2845.88	--- 	20982315008	
000920	300R成长	0.37	2899.25	10.79	--- 	--- 	38775587	--- 	          0.10	--- 	2893.76	2888.46	2920.93	2839.89	--- 	54892380160	
000921	300R价值	1.06	2711.89	28.44	--- 	--- 	40040466	--- 	          0.15	--- 	2689.00	2683.45	2722.66	2653.80	--- 	48264646656	
000922	中证红利	0.55	2829.74	15.34	--- 	--- 	11848578	--- 	          0.16	--- 	2816.79	2814.40	2840.84	2771.39	--- 	13459097600	
000923	公司债	0.08	123.07	0.10	--- 	--- 	149448	--- 	--- 	--- 	123.03	122.97	123.13	122.90	--- 	154245008	
000924	分离债	0.14	124.72	0.18	--- 	--- 	365020	--- 	--- 	--- 	124.55	124.54	124.75	124.35	--- 	292899296	
000925	基本面50	1.37	2435.73	32.82	--- 	--- 	14977919	--- 	          0.12	--- 	2408.16	2402.91	2444.59	2386.21	--- 	16551816192	
000926	中证央企	0.36	1473.38	5.35	--- 	--- 	34787337	--- 	          0.10	--- 	1468.67	1468.03	1483.84	1446.55	--- 	37468065792	
000927	央企100	0.79	1407.25	11.09	--- 	--- 	20190000	--- 	          0.10	--- 	1397.50	1396.16	1414.87	1382.11	--- 	22011754496	
000928	中证能源	1.62	3408.97	54.40	--- 	--- 	3348874	--- 	          0.14	--- 	3367.57	3354.57	3420.20	3331.56	--- 	5931169792	
000929	中证材料	-0.24	2972.44	-7.20	--- 	--- 	17602968	--- 	          0.13	--- 	2984.71	2979.64	3012.57	2911.38	--- 	22054440960	
000930	中证工业	-1.11	2934.10	-32.84	--- 	--- 	18733269	--- 	          0.12	--- 	2965.93	2966.94	2993.34	2874.11	--- 	23431036928	
000931	中证可选	-0.34	3574.73	-12.24	--- 	--- 	12783771	--- 	          0.16	--- 	3585.26	3586.97	3621.94	3481.58	--- 	14661398528	
000932	中证消费	-1.28	5640.41	-72.90	--- 	--- 	6284059	--- 	          0.11	--- 	5708.73	5713.31	5790.67	5568.42	--- 	9635982336	
000933	中证医药	-2.98	5792.66	-177.99	--- 	--- 	3528766	--- 	          0.10	--- 	5956.41	5970.65	6009.78	5680.01	--- 	6397673984	
000934	中证金融	1.95	3871.32	74.05	--- 	--- 	17669781	--- 	          0.14	--- 	3810.43	3797.27	3888.29	3779.18	--- 	19482826752	
000935	中证信息	-3.80	2341.82	-92.49	--- 	--- 	5713877	--- 	          0.10	--- 	2427.00	2434.31	2455.41	2289.10	--- 	7719880704	
000936	中证电信	-1.65	3168.57	-53.24	--- 	--- 	1343596	--- 	          0.25	--- 	3210.38	3221.81	3246.94	3109.29	--- 	1494565632	
000937	中证公用	-0.19	2059.63	-3.96	--- 	--- 	3392370	--- 	          0.16	--- 	2064.54	2063.59	2079.69	2022.49	--- 	2739229440	
000938	中证民企	-1.51	1196.32	-18.31	--- 	--- 	37232975	--- 	          0.11	--- 	1213.30	1214.63	1224.68	1169.81	--- 	50601684992	
000939	民企200	-0.97	1146.50	-11.22	--- 	--- 	19812569	--- 	          0.11	--- 	1157.19	1157.72	1168.33	1119.43	--- 	24904261632	
000940	财富大盘	1.07	3057.30	32.24	--- 	--- 	45782910	--- 	          0.14	--- 	3029.99	3025.06	3069.90	2990.76	--- 	59622506496	
000941	新能源	-3.22	2025.11	-67.47	--- 	--- 	1660797	--- 	         -0.04	--- 	2090.86	2092.58	2114.09	1988.90	--- 	3001494528	
000942	内地消费	0.06	4040.77	2.58	--- 	--- 	7161764	--- 	          0.12	--- 	4041.98	4038.19	4095.63	3961.78	--- 	10443043840	
000943	内地基建	0.77	1720.63	13.07	--- 	--- 	7472273	--- 	          0.13	--- 	1709.93	1707.56	1729.28	1689.00	--- 	5037428224	
000944	内地资源	1.27	4077.48	51.23	--- 	--- 	6987826	--- 	          0.15	--- 	4043.21	4026.25	4091.34	3998.26	--- 	13555917824	
000945	内地运输	-0.92	1741.79	-16.26	--- 	--- 	5866572	--- 	          0.13	--- 	1756.50	1758.05	1778.24	1714.95	--- 	5061198336	
000946	内地金融	1.90	4384.13	81.83	--- 	--- 	9296910	--- 	          0.15	--- 	4318.02	4302.30	4403.14	4281.36	--- 	12591187968	
000947	内地银行	1.83	4011.30	72.08	--- 	--- 	6705110	--- 	          0.15	--- 	3948.92	3939.22	4027.55	3926.10	--- 	6891702784	
000948	内地地产	2.24	3533.41	77.27	--- 	--- 	6834919	--- 	          0.12	--- 	3465.90	3456.14	3550.38	3440.36	--- 	5703547904	
000949	内地农业	-1.10	3868.84	-42.95	--- 	--- 	5770941	--- 	          0.10	--- 	3911.02	3911.79	3951.02	3791.30	--- 	7508329472	
000950	300基建	0.76	1757.58	13.24	--- 	--- 	7167653	--- 	          0.12	--- 	1746.79	1744.34	1766.69	1725.54	--- 	4774499840	
000951	300银行	1.83	3896.94	69.95	--- 	--- 	6705110	--- 	          0.15	--- 	3836.34	3826.99	3912.74	3814.59	--- 	6891702784	
000952	300地产	2.23	3690.86	80.43	--- 	--- 	5087554	--- 	          0.07	--- 	3621.89	3610.43	3710.13	3600.02	--- 	4363539968	
000953	中证地企	-0.23	1022.85	-2.39	--- 	--- 	48911965	--- 	          0.15	--- 	1026.20	1025.24	1035.48	1000.26	--- 	62384082944	
000954	地企100	0.96	896.96	8.52	--- 	--- 	14435773	--- 	          0.16	--- 	890.75	888.44	900.83	877.75	--- 	22178981888	
000955	中证国企	0.03	965.52	0.29	--- 	--- 	83699302	--- 	          0.13	--- 	965.92	965.23	974.96	945.88	--- 	99852148736	
000956	国企200	0.87	872.22	7.50	--- 	--- 	34625772	--- 	          0.13	--- 	866.17	864.72	876.40	855.36	--- 	44190736384	
000957	300运输	-1.50	1633.77	-24.86	--- 	--- 	4363426	--- 	          0.12	--- 	1655.57	1658.63	1674.08	1612.34	--- 	3736917504	
000958	创业成长	-2.14	950.35	-20.74	--- 	--- 	4041009	--- 	         -0.04	--- 	968.93	971.09	979.74	931.02	--- 	7474430976	
000959	银河99	1.54	3824.97	57.83	--- 	--- 	22977349	--- 	          0.10	--- 	3774.85	3767.14	3839.31	3744.37	--- 	32390551552	
000960	中证龙头	0.85	3137.96	26.52	--- 	--- 	19342136	--- 	          0.09	--- 	3114.22	3111.44	3152.11	3078.19	--- 	24737320960	
000961	中证上游	1.22	3832.49	46.24	--- 	--- 	6963036	--- 	          0.14	--- 	3801.59	3786.25	3844.28	3757.82	--- 	12855622656	
000962	中证中游	-0.96	2768.21	-26.89	--- 	--- 	27349118	--- 	          0.13	--- 	2794.27	2795.10	2820.42	2706.56	--- 	34388049920	
000963	中证下游	-0.94	3390.65	-32.10	--- 	--- 	21818368	--- 	          0.10	--- 	3420.51	3422.75	3452.16	3324.94	--- 	28206872576	
000964	中证新兴	-2.97	5432.22	-166.05	--- 	--- 	11870905	--- 	          0.07	--- 	5589.55	5598.27	5635.46	5330.47	--- 	19968083968	
888880	新标准券	--- 	0.00	--- 	--- 	--- 	0	--- 	--- 	--- 	--- 	1.00	--- 	--- 	--- 	--- 	
888001	成长1号	2.19	1971.84	42.21	--- 	--- 	2517373	--- 	          0.10	--- 	1930.50	1929.63	1977.81	1926.51	--- 	54927620	
888002	价值1号	1.79	1172.26	20.59	--- 	--- 	3652973	--- 	          0.06	--- 	1154.86	1151.67	1179.16	1143.81	--- 	200661264	
888016	基金组合	0.93	1963.18	18.07	--- 	--- 	119193	--- 	          0.03	--- 	1938.78	1945.11	1966.95	1938.78	--- 	1576432	
888019	重组组合	-2.13	1388.92	-30.22	--- 	--- 	228601	--- 	          0.12	--- 	1416.21	1419.14	1439.63	1356.27	--- 	10046088	
888020	出口受益	-2.42	1003.47	-24.91	--- 	--- 	1275312	--- 	          0.50	--- 	1029.51	1028.38	1039.57	980.06	--- 	10513396	
888021	低碳经济	-1.32	851.27	-11.41	--- 	--- 	716943	--- 	          0.04	--- 	863.24	862.68	872.10	825.34	--- 	5769059	
